5,1,One
1,1,One
4,1,One
4,1,One
4,1,One
4,2,One
1,2,One
4,2,One
0,2,One
0,2,One
0,3,One
0,3,One
5,3,One
0,3,One
5,3,One
0,4,One
4,4,One
1,4,One
5,4,One
2,4,One
4,5,One
5,5,One
3,5,One
4,5,One
4,5,One
5,1,Two
6,1,Two
6,1,Two
2,1,Two
5,1,Two
0,2,Two
2,2,Two
3,2,Two
0,2,Two
5,2,Two
6,3,Two
3,3,Two
5,3,Two
1,3,Two
6,3,Two
2,4,Two
0,4,Two
4,4,Two
4,4,Two
4,4,Two
3,5,Two
0,5,Two
4,5,Two
6,5,Two
0,5,Two
6,1,Three
3,1,Three
2,1,Three
1,1,Three
7,1,Three
3,2,Three
3,2,Three
0,2,Three
5,2,Three
4,2,Three
4,3,Three
6,3,Three
0,3,Three
3,3,Three
3,3,Three
5,4,Three
6,4,Three
7,4,Three
5,4,Three
5,4,Three
6,5,Three
4,5,Three
1,5,Three
0,5,Three
7,5,Three
7,1,Four
1,1,Four
8,1,Four
3,1,Four
5,1,Four
0,2,Four
3,2,Four
4,2,Four
8,2,Four
3,2,Four
5,3,Four
7,3,Four
5,3,Four
3,3,Four
2,3,Four
0,4,Four
5,4,Four
2,4,Four
6,4,Four
1,4,Four
3,5,Four
5,5,Four
8,5,Four
1,5,Four
1,5,Four

