note,number of notes to repeat,difficulty,
5,1,One
5,1,One
4,1,One
5,1,One
0,1,One
0,2,One
1,2,One
3,2,One
5,2,One
3,2,One
5,3,One
0,3,One
0,3,One
5,3,One
4,3,One
0,4,One
3,4,One
1,4,One
0,4,One
2,4,One
1,5,One
4,5,One
1,5,One
3,5,One
5,5,One
3,1,Two
3,1,Two
6,1,Two
3,1,Two
5,1,Two
4,2,Two
0,2,Two
0,2,Two
1,2,Two
1,2,Two
2,3,Two
0,3,Two
0,3,Two
5,3,Two
0,3,Two
4,4,Two
0,4,Two
5,4,Two
0,4,Two
1,4,Two
2,5,Two
1,5,Two
1,5,Two
4,5,Two
3,5,Two
7,1,Three
6,1,Three
3,1,Three
5,1,Three
5,1,Three
3,2,Three
6,2,Three
6,2,Three
4,2,Three
0,2,Three
2,3,Three
1,3,Three
6,3,Three
2,3,Three
3,3,Three
7,4,Three
7,4,Three
4,4,Three
3,4,Three
0,4,Three
5,5,Three
1,5,Three
3,5,Three
5,5,Three
1,5,Three
5,1,Four
5,1,Four
7,1,Four
3,1,Four
3,1,Four
4,2,Four
8,2,Four
0,2,Four
2,2,Four
0,2,Four
7,3,Four
8,3,Four
0,3,Four
5,3,Four
7,3,Four
7,4,Four
2,4,Four
3,4,Four
0,4,Four
5,4,Four
4,5,Four
1,5,Four
0,5,Four
3,5,Four
5,5,Four

